NIT;NOMBRE;SECTOR;SUBSECTOR;ARTICULOS;PAIS;DEPARTAMENTO;CIUDAD;DIRECCIÓN;CELULAR;TELEFONO;LINK_FACEBOOK;LINK_INSTAGRAM;;;;;;;;;;;;;;;
;Modeybo;Carpintero;Carpinteria;Madera, Puertas, Armarios, Escritorios;Colombia;Antioquia;Sabaneta;Cl. 75 Sur #47- 53;324 5981092;NULL;https://www.facebook.com/p/Modeybo-Modeybo-100070348123415/;https://www.instagram.com/modeybomodeybo/;;;;;;;;;;;;;;;
;Amoblamiento Y Reformas;Carpintero;Carpinteria;Fábrica De Muebles;Colombia;Antioquia;Sabaneta;Cra. 45 #74 sur 29;310 4253957;NULL;NULL;NULL;;;;;;;;;;;;;;;
;Ebanistería Y Tapicería Jairo Molina;Carpintero;Tapiceria;Fábrica De Muebles;Colombia;Antioquia;Sabaneta;Cra. 43B #68A-16;NULL;42889162;NULL;NULL;;;;;;;;;;;;;;;
;Santi De Madera;Carpintero;Carpinteria;Fábrica De Muebles;Colombia;Antioquia;Sabaneta;Cra. 43A #61 SUR - 152;305 3075389;NULL;NULL;NULL;;;;;;;;;;;;;;;
;Carpin Crear;Carpintero;Carpinteria;Tienda De Muebles;Colombia;Antioquia;Sabaneta;Carrera 35 # 72 sur 251, La Doctora;318 3005022;NULL;NULL;NULL;;;;;;;;;;;;;;;
;Carpintería Y Vidriería San Rafael;Carpintero;Carpinteria;Fábrica De Muebles, Ensamblado De Vidrios Para Espejo, Entre Otros;Colombia;Antioquia;Sabaneta;Cra 52 #45a-53 a 45a-1;NULL;NULL;NULL;NULL;;;;;;;;;;;;;;;
;Mobiliarioyestilo;Inmobiliario;Construccion;Diseños De Interiores;Colombia;Antioquia;Sabaneta;Cra. 43A #53c sur 12;305 4076031;NULL;NULL;NULL;;;;;;;;;;;;;;;
;Sastreria Monica Giraldo;Textil;Confecciones;Sastreria, arreglos en general;Colombia;Antioquia;Sabaneta;Calle 77 Sur #43 A -27 Local 208;3046175131;3046175131;NULL;https://www.instagram.com/sastreria_monica_giraldo/;;;;;;;;;;;;;;;
;El Taller de Ofe;Textil;Confecciones;Arreglo de prendas;Colombia;Antioquia;Sabaneta;Cr 43 A # 62Sur-37;3116376796;6042439097;https://www.facebook.com/p/El-Taller-de-Ofe-100054640080725/?locale=es_LA;https://www.instagram.com/eltallerdeofe/?hl=es-la;;;;;;;;;;;;;;;
;Creaizy;Textil;Confecciones;Insumo textiles para la decoración y la confección. Servicio de sublimación;Colombia;Antioquia;Sabaneta;Cr 47 # 75 Sur -34;321612585;NULL;NULL;https://www.instagram.com/creaizyy/;;;;;;;;;;;;;;;
